





ID;Aluno(a);Idade;"Data de Nascimento";Matricula;"ID Curso";"Data Registro";Arquivo
"Allan &#60;button&#62;&#60;/button&#62;";28;10/11/1994;27127517;27127517;18/1/2023;../uploads/
"caju &#60;button&#62;php eh ruim&#60;/button&#62;";28;10/11/1994;27127517;27127517;18/1/2023;../uploads/
"erick &#60;button&#62;&#60;/button&#62;";28;20/11/1994;007171;7171;18/1/2023;../uploads/
"Gabriel Araujo";28;20/11/1994;271275120;1;13/1/2023;../uploads/
paulo;31;10/11/1991;27127517;27127517;18/1/2023;../uploads/
paulo;31;10/11/1991;27127517;27127517;18/1/2023;../uploads/





















?>
